_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,powerLevel,generic,deleted
216,"hartford","Other Rifle","","","その他のライフル","","",2,2,2,true,
217,"hartford","Other Rifle","","","その他のライフル","","",2,4,2,true,
218,"hartford","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
219,"hartford","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
220,"hartford","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
221,"hartford","Other SMG","","","その他のSMG","","",8,1,2,true,
222,"hartford","Other SMG","","","その他のSMG","","",8,2,2,true,
223,"hartford","Other SMG","","","その他のSMG","","",8,4,2,true,

225,"maruzen","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
226,"maruzen","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
227,"maruzen","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
228,"maruzen","Other Rifle","","","その他のライフル","","",2,1,0,true,
229,"maruzen","Other Rifle","","","その他のライフル","","",2,2,0,true,
230,"maruzen","Other Rifle","","","その他のライフル","","",2,4,0,true,
231,"maruzen","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
232,"maruzen","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
233,"maruzen","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
234,"maruzen","Other SMG","","","その他のSMG","","",8,1,0,true,
235,"maruzen","Other SMG","","","その他のSMG","","",8,2,0,true,
236,"maruzen","Other SMG","","","その他のSMG","","",8,4,0,true,
237,"maruzen","Other Handgun","","","その他のハンドガン","","",1,1,2,true,
238,"maruzen","Other Handgun","","","その他のハンドガン","","",1,2,2,true,
239,"maruzen","Other Handgun","","","その他のハンドガン","","",1,4,2,true,
240,"maruzen","Other Rifle","","","その他のライフル","","",2,1,2,true,
241,"maruzen","Other Rifle","","","その他のライフル","","",2,2,2,true,
242,"maruzen","Other Rifle","","","その他のライフル","","",2,4,2,true,
243,"maruzen","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
244,"maruzen","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
245,"maruzen","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
246,"maruzen","Other SMG","","","その他のSMG","","",8,1,2,true,
247,"maruzen","Other SMG","","","その他のSMG","","",8,2,2,true,
248,"maruzen","Other SMG","","","その他のSMG","","",8,4,2,true,

250,"krytac","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
251,"krytac","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
252,"krytac","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
253,"krytac","Other Rifle","","","その他のライフル","","",2,1,0,true,
254,"krytac","Other Rifle","","","その他のライフル","","",2,2,0,true,
255,"krytac","Other Rifle","","","その他のライフル","","",2,4,0,true,
256,"krytac","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
257,"krytac","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
258,"krytac","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
259,"krytac","Other SMG","","","その他のSMG","","",8,1,0,true,
260,"krytac","Other SMG","","","その他のSMG","","",8,2,0,true,
261,"krytac","Other SMG","","","その他のSMG","","",8,4,0,true,
262,"krytac","Other Handgun","","","その他のハンドガン","","",1,1,1,true,
263,"krytac","Other Handgun","","","その他のハンドガン","","",1,2,1,true,
264,"krytac","Other Handgun","","","その他のハンドガン","","",1,4,1,true,
265,"krytac","Other Rifle","","","その他のライフル","","",2,1,1,true,
266,"krytac","Other Rifle","","","その他のライフル","","",2,2,1,true,
267,"krytac","Other Rifle","","","その他のライフル","","",2,4,1,true,
268,"krytac","Other Shotgun","","","その他のショットガン","","",4,1,1,true,
269,"krytac","Other Shotgun","","","その他のショットガン","","",4,2,1,true,
270,"krytac","Other Shotgun","","","その他のショットガン","","",4,4,1,true,
271,"krytac","Other SMG","","","その他のSMG","","",8,1,1,true,
272,"krytac","Other SMG","","","その他のSMG","","",8,2,1,true,
273,"krytac","Other SMG","","","その他のSMG","","",8,4,1,true,

275,"crown","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
276,"crown","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
277,"crown","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
278,"crown","Other Rifle","","","その他のライフル","","",2,1,0,true,
