_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,lowFps,generic,deleted
291,"crown","Other Rifle","","","その他のライフル","","",2,2,true,true
292,"crown","Other Rifle","","","その他のライフル","","",2,4,true,true
293,"crown","Other Shotgun","","","その他のショットガン","","",4,1,true,true
294,"crown","Other Shotgun","","","その他のショットガン","","",4,2,true,true
295,"crown","Other Shotgun","","","その他のショットガン","","",4,4,true,true
296,"crown","Other SMG","","","その他のSMG","","",8,1,true,true
297,"crown","Other SMG","","","その他のSMG","","",8,2,true,true
298,"crown","Other SMG","","","その他のSMG","","",8,4,true,true

300,"ktw","Other Pistol","","","その他のハンドガン","","",1,1,false,true
301,"ktw","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
302,"ktw","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
303,"ktw","Other Rifle","","","その他のライフル","","",2,1,false,true
304,"ktw","Other Rifle","","","その他のライフル","","",2,2,false,true
305,"ktw","Other Rifle","","","その他のライフル","","",2,4,false,true
306,"ktw","Other Shotgun","","","その他のショットガン","","",4,1,false,true
307,"ktw","Other Shotgun","","","その他のショットガン","","",4,2,false,true
308,"ktw","Other Shotgun","","","その他のショットガン","","",4,4,false,true
309,"ktw","Other SMG","","","その他のSMG","","",8,1,false,true
310,"ktw","Other SMG","","","その他のSMG","","",8,2,false,true
311,"ktw","Other SMG","","","その他のSMG","","",8,4,false,true
312,"ktw","Other Pistol","","","その他のハンドガン","","",1,1,true,true
313,"ktw","Other Pistol","","","その他のハンドガン","","",1,2,true,true
314,"ktw","Other Pistol","","","その他のハンドガン","","",1,4,true,true
315,"ktw","Other Rifle","","","その他のライフル","","",2,1,true,true
316,"ktw","Other Rifle","","","その他のライフル","","",2,2,true,true
317,"ktw","Other Rifle","","","その他のライフル","","",2,4,true,true
318,"ktw","Other Shotgun","","","その他のショットガン","","",4,1,true,true
319,"ktw","Other Shotgun","","","その他のショットガン","","",4,2,true,true
320,"ktw","Other Shotgun","","","その他のショットガン","","",4,4,true,true
321,"ktw","Other SMG","","","その他のSMG","","",8,1,true,true
322,"ktw","Other SMG","","","その他のSMG","","",8,2,true,true
323,"ktw","Other SMG","","","その他のSMG","","",8,4,true,true

325,"cyma","Other Pistol","","","その他のハンドガン","","",1,1,false,true
326,"cyma","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
327,"cyma","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
